まてりある,material
しぇーだー,shader
ぷれはぶ,prefab
あせっと,asset
ぶいしーしー,vcc
ゆにてぃ,unity
ひえらるきー,hierarchy
いんすぺくたー,inspector
しぇいぷきー,shapekey
きゃりぶれーしょん,calibration
いんばいと,invite
りくいん,reqin
ぽーたる,portal
あばたー,avatar
ぐるーぷ,group
そーしゃる,social
りすぽーん,respawn
しーるど,shield
れべる,level
じょいん,join
わーるど,world
ぶいあーる,vr
ぶいあーるちゃっと,vrchat
じぇーぴーてぃー,jpt
ふじやま,fujiyama
いべんと,event
かれんだー,calendar
きゅーぶいぺん,qvpen
へいろー,halo
つい,twi
びじたー,visitor
みらー,mirror
すちーむ,steam
ふれんど,friend
ちゅーとりある,tutorial
おふ,off
とらっきんぐ,tracking
こらいだー,collider
ばっくあっぷ,backup
ぶい,v
ぐろーばる,global
ぷらべ,private
ふるとら,fulltra
